time_ms,cpu_usage,active_workers,queue_len
0,0,0,1000
10,130,8,992
20,130,8,992
31,130,8,992
41,130,8,992
51,130,8,992
61,130,8,992
71,130,8,992
82,130,8,992
92,130,8,992
102,130,8,992
112,130,8,992
122,130,8,986
133,130,8,986
143,130,8,986
154,130,8,986
164,130,8,986
174,130,8,986
184,130,8,986
195,130,8,986
205,130,8,986
215,130,8,986
225,130,8,986
235,130,8,986
245,130,8,980
255,130,8,980
265,130,8,980
275,130,8,980
285,130,8,980
295,130,8,980
305,80,8,978
315,80,8,978
325,80,8,978
335,80,8,978
345,80,8,978
355,80,8,978
365,105,8,972
375,105,8,972
385,105,8,972
396,105,8,972
406,105,8,972
416,105,8,972
426,105,8,970
437,105,8,970
447,105,8,970
457,105,8,970
467,105,8,970
477,105,8,970
487,105,8,965
497,105,8,965
507,105,8,965
518,105,8,965
528,105,8,965
538,105,8,965
548,105,8,963
559,105,8,963
569,105,8,963
580,105,8,963
590,105,8,963
600,95,7,963
610,105,8,958
621,105,8,958
631,105,8,958
641,105,8,958
652,105,8,958
662,80,8,955
672,80,8,955
682,80,8,955
693,80,8,955
703,80,8,955
713,80,8,955
724,80,8,950
734,80,8,950
744,80,8,950
754,80,8,950
765,80,8,950
775,80,8,950
785,105,8,947
796,105,8,947
806,105,8,947
816,105,8,947
827,105,8,947
837,105,8,947
847,105,8,942
858,105,8,942
868,105,8,942
878,105,8,942
888,105,8,942
899,105,8,942
909,105,8,940
919,105,8,940
929,105,8,940
940,105,8,940
950,105,8,940
960,105,8,940
971,105,8,935
981,105,8,935
992,105,8,935
1002,105,8,935
1012,105,8,935
1022,105,8,933
1033,105,8,933
1043,105,8,933
1053,105,8,933
1064,105,8,933
1074,105,8,933
1084,105,8,927
1094,105,8,927
1105,105,8,927
1115,105,8,927
1125,105,8,927
1135,105,8,927
1145,105,8,925
1155,105,8,925
1165,105,8,925
1176,105,8,925
1186,105,8,925
1197,105,8,925
1207,105,8,920
1217,105,8,920
1227,105,8,920
1238,105,8,920
1248,105,8,920
1258,105,8,920
1268,105,8,918
1278,105,8,918
1288,105,8,918
1299,105,8,918
1309,105,8,918
1319,105,8,918
1329,105,8,913
1340,105,8,913
1350,105,8,913
1360,105,8,913
1370,105,8,913
1380,105,8,913
1390,80,8,910
1400,80,8,910
1411,80,8,910
1421,80,8,910
1432,80,8,910
1442,80,8,909
1453,105,8,905
1463,105,8,905
1474,105,8,905
1484,105,8,905
1495,105,8,905
1505,105,8,902
1515,105,8,902
1525,105,8,902
1535,105,8,902
1545,105,8,902
1556,105,8,902
1566,105,8,898
1576,105,8,898
1586,105,8,898
1596,105,8,898
1606,105,8,898
1616,105,8,898
1626,105,8,895
1637,105,8,895
1647,105,8,895
1657,105,8,895
1668,105,8,895
1678,105,8,895
1688,105,8,891
1698,105,8,891
1709,105,8,891
1719,105,8,891
1729,105,8,891
1739,105,8,891
1749,105,8,887
1760,105,8,887
1770,105,8,887
1780,105,8,887
1790,105,8,887
1800,105,8,887
1811,105,8,883
1821,105,8,883
1831,105,8,883
1842,105,8,883
1852,105,8,883
1862,105,8,883
1872,105,8,880
1882,105,8,880
1892,105,8,880
1903,105,8,880
1913,105,8,880
1923,105,8,878
1933,105,8,876
1943,105,8,876
1953,105,8,876
1964,105,8,876
1974,105,8,876
1984,105,8,873
1995,105,8,873
2005,105,8,873
2015,105,8,873
2025,105,8,873
2035,105,8,873
2045,105,8,868
2056,105,8,868
2066,105,8,868
2076,105,8,868
2086,105,8,868
2096,105,8,868
2106,105,8,865
2116,105,8,865
2126,105,8,865
2136,105,8,865
2146,105,8,865
2157,105,8,865
2167,105,8,861
2178,105,8,861
2188,105,8,861
2199,105,8,861
2210,105,8,861
2220,105,8,861
2230,105,8,858
2241,105,8,858
2251,105,8,858
2262,105,8,858
2273,105,8,858
2283,105,8,858
2294,105,8,854
2304,105,8,854
2315,105,8,854
2325,105,8,854
2336,105,8,854
2346,80,8,850
2357,80,8,850
2367,80,8,850
2378,80,8,850
2388,80,8,850
2398,80,8,850
2409,105,8,846
2419,105,8,846
2430,105,8,846
2440,105,8,846
2451,105,8,846
2461,105,8,846
2472,105,8,842
2482,105,8,842
2492,105,8,842
2503,105,8,842
2513,105,8,842
2523,105,8,842
2533,105,8,839
2544,105,8,839
2554,105,8,839
2565,105,8,839
2575,105,8,839
2586,105,8,835
2596,105,8,835
2606,105,8,835
2616,105,8,835
2627,105,8,835
2637,105,8,835
2647,105,8,832
2658,105,8,832
2668,105,8,832
2678,105,8,832
2688,105,8,832
2698,105,8,832
2708,80,8,827
2718,80,8,827
2729,80,8,827
2739,80,8,827
2749,80,8,827
2759,80,8,827
2769,80,8,824
2780,80,8,824
2790,80,8,824
2801,80,8,824
2811,80,8,824
2821,80,8,824
2832,80,8,819
2842,80,8,819
2852,80,8,819
2862,80,8,819
2873,80,8,819
2883,80,8,819
2893,80,8,816
2903,80,8,816
2913,80,8,816
2923,80,8,816
2933,80,8,816
2944,70,7,816
2954,105,8,811
2965,105,8,811
2975,105,8,811
2986,105,8,811
2996,105,8,811
3006,105,8,809
3016,105,8,808
3027,105,8,808
3037,105,8,808
3048,105,8,808
3058,105,8,808
3068,105,8,804
3078,105,8,804
3088,105,8,804
3099,105,8,804
